ITEM
96027	0	0
1	C	1,3,100101
2	C	1,3,100102
3	C	1,3,100103
4	C	1,3,100104
5	C	1,3,100105
6	C	1,3,100106
7	C	1,3,100107
8	C	1,3,100108
9	C	1,3,100109
10	C	1,3,10010A
11	C	1,3,10010B
12	C	1,3,10010C
13	C	1,3,10010D
14	C	1,3,10010E
15	C	1,3,10010F
16	C	1,3,100110
17	C	1,3,100111
18	C	1,3,100112
19	C	1,3,100113
20	C	1,3,100114
21	C	1,3,100115
22	C	1,3,100116
23	C	1,3,100117
24	C	1,3,100118
25	C	1,3,100119
26	C	1,3,10011A
27	C	1,3,10011B
28	C	1,3,10011C
29	C	1,3,10011D
30	C	1,3,10011E
31	C	1,3,10011F
32	C	1,3,100120
33	C	1,3,100121
34	C	1,3,100122
35	C	1,3,100123
41	C	1,3,100129
43	C	1,3,10012B
44	C	1,3,10012C
47	C	1,3,10012F
48	C	1,3,100130
49	C	1,3,100131
50	C	1,3,100132
51	C	1,3,100133
54	C	1,3,100136
55	C	1,3,100137
56	C	1,3,100138
63	C	1,3,10013F
65	C	1,3,100141
66	C	1,3,100142
84	C	1,3,100154
85	C	1,3,100155
86	C	1,3,100156
87	C	1,3,100157
88	C	1,3,100158
89	C	1,3,100159
92	C	1,3,10015C
93	C	1,3,10015D
96	C	1,3,100160
97	C	1,3,100161
98	C	1,3,100162
101	C	1,3,100165
103	C	1,3,100167
104	C	1,3,100168
108	C	1,3,10016C
116	C	1,3,100174
119	C	1,3,100177
120	C	1,3,100178
121	C	1,3,100179
122	C	1,3,10017A
123	C	1,3,10017B
124	C	1,3,10017C
125	C	1,3,10017D
126	C	1,3,10017E
127	C	1,3,10017F
128	C	1,3,100180
129	C	1,3,100181
130	C	1,3,100182
131	C	1,3,100183
132	C	1,3,100184
133	C	1,3,100185
134	C	1,3,100186
135	C	1,3,100187
136	C	1,3,100188
137	C	1,3,100189
138	C	1,3,10018A
139	C	1,3,10018B
140	C	1,3,10018C
141	C	1,3,10018D
142	C	1,3,10018E
143	C	1,3,10018F
144	C	1,3,100190
145	C	1,3,100191
146	C	1,3,100192
147	C	1,3,100193
148	C	1,3,100194
149	C	1,3,100195
150	C	1,3,100196
151	C	1,3,100197
152	C	1,3,100198
153	C	1,3,100199
154	C	1,3,10019A
155	C	1,3,10019B
156	C	1,3,10019C
157	C	1,3,10019D
158	C	1,3,10019E
159	C	1,3,10019F
164	C	1,3,1001A4
167	C	1,3,1001A7
168	C	1,3,1001A8
169	C	1,3,1001A9
173	C	1,3,1001AD
174	C	1,3,1001AE
175	C	1,3,1001AF
176	C	1,3,1001B0
177	C	1,3,1001B1
181	C	1,3,1001B5
183	C	1,3,1001B7
184	C	1,3,1001B8
185	C	1,3,1001B9
187	C	1,3,1001BB
188	C	1,3,1001BC
189	C	1,3,1001BD
190	C	1,3,1001BE
191	C	1,3,1001BF
192	C	1,3,1001C0
193	C	1,3,1001C1
194	C	1,3,1001C2
195	C	1,3,1001C3
196	C	1,3,1001C4
197	C	1,3,1001C5
198	C	1,3,1001C6
199	C	1,3,1001C7
200	C	1,3,1001C8
201	C	1,3,1001C9
202	C	1,3,1001CA
203	C	1,3,1001CB
204	C	1,3,1001CC
205	C	1,3,1001CD
206	C	1,3,1001CE
207	C	1,3,1001CF
208	C	1,3,1001D0
209	C	1,3,1001D1
210	C	1,3,1001D2
211	C	1,3,1001D3
212	C	1,3,1001D4
213	C	1,3,1001D5
214	C	1,3,1001D6
215	C	1,3,1001D7
216	C	1,3,1001D8
217	C	1,3,1001D9
218	C	1,3,1001DA
219	C	1,3,1001DB
220	C	1,3,1001DC
221	C	1,3,1001DD
222	C	1,3,1001DE
223	C	1,3,1001DF
224	C	1,3,1001E0
225	C	1,3,1001E1
226	C	1,3,1001E2
227	C	1,3,1001E3
228	C	1,3,1001E4
229	C	1,3,1001E5
230	C	1,3,1001E6
231	C	1,3,1001E7
232	C	1,3,1001E8
233	C	1,3,1001E9
234	C	1,3,1001EA
235	C	1,3,1001EB
236	C	1,3,1001EC
237	C	1,3,1001ED
238	C	1,3,1001EE
239	C	1,3,1001EF
240	C	1,3,1001F0
241	C	1,3,1001F1
242	C	1,3,1001F2
243	C	1,3,1001F3
244	C	1,3,1001F4
245	C	1,3,1001F5
246	C	1,3,1001F6
247	C	1,3,1001F7
248	C	1,3,1001F8
250	C	1,3,1001FA
251	C	1,3,1001FB
252	C	1,3,1001FC
253	C	1,3,1001FD
254	C	1,3,1001FE
255	C	1,3,1001FF
256	C	1,3,100200
257	C	1,3,100201
258	C	1,3,100202
259	C	1,3,100203
260	C	1,3,100204
261	C	1,3,100205
262	C	1,3,100206
263	C	1,3,100207
264	C	1,3,100208
265	C	1,3,100209
266	C	1,3,10020A
267	C	1,3,10020B
268	C	1,3,10020C
269	C	1,3,10020D
270	C	1,3,10020E
271	C	1,3,10020F
272	C	1,3,100210
273	C	1,3,100211
274	C	1,3,100212
275	C	1,3,100213
276	C	1,3,100214
277	C	1,3,100215
278	C	1,3,100216
279	C	1,3,100217
280	C	1,3,100218
281	C	1,3,100219
282	C	1,3,10021A
283	C	1,3,10021B
284	C	1,3,10021C
285	C	1,3,10021D
286	C	1,3,10021E
287	C	1,3,10021F
288	C	1,3,100220
289	C	1,3,100221
290	C	1,3,100222
291	C	1,3,100223
292	C	1,3,100224
293	C	1,3,100225
294	C	1,3,100226
295	C	1,3,100227
296	C	1,3,100228
297	C	1,3,100229
298	C	1,3,10022A
299	C	1,3,10022B
300	C	1,3,10022C
301	C	1,3,10022D
302	C	1,3,10022E
303	C	1,3,10022F
